District_Name,Soil_color,Nitrogen,Phosphorus,Potassium,pH,Rainfall,Temperature,Crop,Fertilizer,Link,Fertilizer_Usage
Kolhapur,Black,75,50,100,6.5,1000,20,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,68.86
Kolhapur,Black,80,50,100,6.5,1000,20,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,88.52
Kolhapur,Black,85,50,100,6.5,1000,20,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,84.69
Kolhapur,Black,90,50,100,6.5,1000,20,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,83.16
Kolhapur,Black,95,50,100,6.5,1000,20,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,71.15
Kolhapur,Black,100,50,100,6.5,1000,20,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,73.3
Kolhapur,Black,75,55,105,7,1100,25,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,61.74
Kolhapur,Black,80,55,105,7,1100,25,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,88.85
Kolhapur,Black,85,55,105,7,1100,25,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,83.24
Kolhapur,Black,90,55,105,7,1100,25,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,89.37
Kolhapur,Black,95,55,105,7,1100,25,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,68.7
Kolhapur,Black,100,55,105,7,1100,25,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,103.95
Kolhapur,Black,75,60,110,7.5,1200,30,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,87.81
Kolhapur,Black,80,60,110,7.5,1200,30,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,70.79
Kolhapur,Black,85,60,110,7.5,1200,30,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,72
Kolhapur,Black,90,60,110,7.5,1200,30,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,74.24
Kolhapur,Black,95,60,110,7.5,1200,30,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,80.65
Kolhapur,Black,100,60,110,7.5,1200,30,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,90.89
Kolhapur,Black,75,50,115,6.5,1300,35,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,73.44
Kolhapur,Black,80,50,115,6.5,1300,35,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,71.49
Kolhapur,Black,85,50,115,6.5,1300,35,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,84.1
Kolhapur,Black,90,50,115,6.5,1300,35,Sugarcane,Urea,https://youtu.be/2t5Am0xLTOo,71.03
