City,Temperature_C,Population_Density,Green_Cover_%,Industrial_Activity_Level,Vehicular_Emissions_Index,Humidity_%,Land_Surface_Temperature_C,Nighttime_Temperature_C,UHI_Effect_Severity
Chennai,20.47,19385,23.82,Low,284.41,48.83,26.79,16.72,Low
Pune,33.13,12181,32.33,Medium,278.59,80.16,37.63,31.52,Medium
Bangalore,29.81,18445,16.01,Medium,113.44,53.66,35.89,28.38,Low
Pune,26.84,17875,21.87,Medium,150.45,81.02,32.61,23.97,Low
Pune,28.81,8414,38.9,Low,210.83,70.58,31.79,26.25,Low
Delhi,35.55,20005,28.53,Medium,179.51,58.64,40.63,32.82,Medium
Bangalore,41.64,14501,10.38,Medium,73.99,42.03,45.31,39.34,High
Bangalore,36.57,19245,9.66,Medium,298.42,51.62,41.93,34.16,Medium
Bangalore,31.97,11457,12.15,Low,238.16,84.45,38.4,28.63,Low
Pune,37.28,11749,31.83,High,159.42,80.9,39.77,35.62,Medium
Chennai,32.7,5296,15.34,Medium,204.54,68.74,37.8,30.51,Low
Bangalore,31.53,14821,5.75,Low,71.89,63.32,37.23,27.65,Low
Pune,29.23,21952,38.05,Medium,173.83,72.36,33.0,27.66,Low
Delhi,26.24,10283,10.94,Medium,282.71,63.31,33.96,24.36,Low
Chennai,33.05,18119,5.33,Medium,274.15,72.22,38.17,31.48,Medium
Delhi,35.79,12664,13.3,Low,134.35,55.37,38.89,34.73,Medium
Chennai,34.52,12511,13.23,Low,182.84,81.92,37.16,32.71,Medium
Pune,32.92,10465,19.77,Low,224.35,75.1,38.17,31.78,Low
Mumbai,30.27,29647,37.21,Medium,135.0,56.5,34.52,28.81,Low
Chennai,38.04,17557,35.77,Medium,66.22,81.53,41.2,35.95,High
Delhi,28.41,9382,20.99,Medium,176.36,64.37,30.6,27.35,Low
Pune,38.88,21449,19.38,High,200.41,48.73,44.28,35.62,High
Chennai,29.99,22263,24.43,Low,51.46,43.89,35.58,26.6,Low
Mumbai,31.24,29643,13.52,Low,73.89,74.98,34.09,29.0,Low
Mumbai,27.67,14408,6.83,Medium,101.82,83.26,33.28,23.71,Low
Bangalore,32.49,28606,37.87,Low,137.01,80.37,40.2,29.46,Low
Bangalore,39.88,18690,11.53,Medium,185.26,72.78,47.75,36.65,High
Delhi,37.58,10069,11.94,Medium,123.46,47.07,44.91,36.0,Medium
Chennai,39.89,24623,21.54,Low,119.05,44.7,46.73,36.38,High
Chennai,37.61,16672,22.21,Medium,267.34,57.25,40.87,33.78,Medium
Bangalore,29.48,21891,5.65,Medium,86.26,82.75,32.42,27.77,Low
Chennai,33.35,12704,10.18,Medium,173.87,88.09,38.02,30.29,Medium
Chennai,31.1,22509,18.24,High,288.21,52.07,36.82,27.86,Low
Mumbai,41.65,22269,28.93,Low,206.25,78.1,48.76,39.74,High
Bangalore,29.02,24225,12.99,High,229.3,68.69,32.41,26.59,Low
Pune,39.47,12975,19.81,Medium,157.81,41.59,44.35,38.18,High
Bangalore,39.46,17069,24.51,High,54.98,67.15,45.35,37.95,High
Pune,44.15,11565,36.1,Low,211.53,80.3,48.82,42.96,High
Mumbai,32.95,27467,16.41,Medium,207.98,53.81,37.68,30.27,Low
Delhi,38.56,9870,9.67,Medium,77.61,84.87,41.91,35.69,High
Chennai,46.41,23909,22.12,Medium,165.54,51.81,54.33,42.66,High
Mumbai,31.91,14117,31.14,Medium,278.83,43.82,36.76,29.29,Low
Chennai,27.32,25599,8.85,Medium,101.27,48.0,32.52,25.54,Low
Delhi,25.6,6938,19.86,High,165.27,81.85,28.91,24.42,Low
Delhi,38.56,16554,5.62,Medium,165.28,60.87,43.65,34.91,High
Mumbai,25.58,8232,6.17,Low,252.69,79.85,29.12,23.15,Low
Delhi,33.14,25128,21.9,Medium,256.14,66.56,36.35,29.93,Medium
Pune,37.19,27605,15.44,Medium,239.82,64.03,40.84,36.14,Medium
Delhi,35.93,8465,34.58,Medium,141.36,80.35,37.94,33.46,Medium
Chennai,37.13,5440,26.08,Medium,68.01,61.17,42.55,35.15,Medium
Chennai,36.11,21845,20.89,High,137.37,80.1,40.44,35.02,Medium
Chennai,41.39,10413,19.28,Medium,219.95,45.03,48.79,38.07,High
Chennai,30.24,16663,22.4,Low,225.69,71.82,32.48,27.7,Low
Pune,31.62,10755,6.42,Low,291.25,75.13,33.87,29.62,Low
Bangalore,31.14,10012,36.25,High,163.41,84.95,38.45,27.72,Low
Mumbai,39.15,24547,39.94,Medium,208.11,51.22,41.91,36.81,High
Chennai,39.5,21126,11.35,High,184.8,70.21,41.51,38.49,High
Delhi,37.26,11752,9.21,Medium,87.65,61.66,40.33,33.42,Medium
Chennai,40.92,5005,10.03,Medium,165.3,59.14,47.86,39.15,High
Delhi,29.11,9776,28.14,Medium,186.21,45.34,35.93,25.62,Low
Delhi,43.34,12038,28.15,Low,287.69,46.71,47.38,39.89,High
Chennai,42.62,11414,34.68,Medium,141.63,81.85,48.62,41.13,High
Pune,38.68,27123,31.31,Medium,295.02,77.49,43.72,36.26,High
Delhi,43.91,8970,20.74,Medium,185.58,59.12,51.34,42.79,High
Delhi,26.72,16050,26.45,High,110.62,81.42,29.06,24.65,Low
Chennai,32.38,7606,29.09,High,97.92,44.04,39.26,29.18,Low
Delhi,31.32,21482,22.95,High,85.42,71.24,34.35,29.61,Low
Delhi,38.61,5525,21.65,High,163.23,83.41,42.96,37.26,High
Chennai,29.75,11337,27.58,Medium,55.48,81.94,32.9,27.23,Low
Chennai,38.79,6180,24.51,Medium,161.26,58.64,45.0,36.18,High
Mumbai,41.85,29451,27.54,High,297.1,77.26,47.92,38.83,High
Pune,38.48,25875,26.45,Medium,217.53,61.37,43.76,35.2,High
Pune,36.42,18057,30.17,Low,239.95,82.01,42.61,33.33,Medium
Delhi,30.06,10922,27.5,Medium,79.75,66.54,35.9,26.52,Low
Pune,30.77,8071,23.19,Low,168.28,78.24,37.42,29.1,Low
Delhi,41.25,27025,28.86,Medium,121.56,43.93,44.68,38.54,High
Mumbai,38.9,28765,20.73,Medium,273.52,69.5,43.47,36.82,High
Chennai,34.8,7792,13.46,Low,95.32,67.51,37.71,30.92,Medium
Chennai,32.91,26162,5.05,High,164.68,70.5,37.49,30.59,Low
