State,Year,Population (millions),Annual Rainfall (mm),Agricultural Land (sq km),Industrial Water Usage (billion liters),Domestic Water Usage (billion liters),Groundwater Level (meters below surface),Reservoir Capacity (%),Total Water Consumption (billion liters),Water Shortage Risk
Tamil Nadu,2013,179.34,997.0,51865.1,143.82,240.53,35.0,16.7,384.35,Yes
Bihar,2020,29.93,2576.9,74682.9,349.2,60.57,3.5,74.7,409.77,No
Andhra Pradesh,2004,160.14,732.7,131604.3,367.33,96.27,31.7,70.7,463.6,No
Chhattisgarh,2002,94.05,868.2,146354.3,378.86,244.61,38.2,5.1,623.47,Yes
Madhya Pradesh,2009,60.95,957.0,79678.0,259.11,139.69,43.1,7.6,398.8,Yes
Haryana,2018,20.63,899.8,188946.2,276.72,120.69,32.3,9.4,397.41,Yes
Meghalaya,2008,45.47,648.0,55332.4,290.18,125.22,36.6,24.8,415.4,Yes
Andhra Pradesh,2012,38.76,3860.1,163144.9,328.97,122.49,26.5,50.9,451.46,No
Tamil Nadu,2004,9.82,2170.0,8873.0,148.04,221.61,2.3,80.3,369.65,No
Meghalaya,2008,45.47,648.0,55332.4,290.18,125.22,36.6,24.8,415.4,Yes
Uttarakhand,2013,39.9,3183.0,62074.5,339.41,267.12,49.5,63.2,606.53,No
Tamil Nadu,2013,179.34,997.0,51865.1,143.82,240.53,35.0,16.7,384.35,Yes
Odisha,2023,59.24,867.6,70345.4,462.15,153.04,32.9,5.2,615.19,Yes
Kerala,2023,20.27,751.5,87356.7,219.28,252.23,37.3,28.5,471.51,Yes
Bihar,2007,61.17,2759.4,142875.7,55.94,279.67,25.0,88.2,335.61,No
Manipur,2019,65.65,2769.0,43465.3,126.93,107.85,29.8,17.7,234.78,No
Manipur,2025,202.3,948.8,23578.4,318.55,159.05,48.3,13.1,477.6,Yes
Telangana,2019,9.9,881.5,189471.2,367.57,66.85,14.7,57.1,434.42,No
Tamil Nadu,2021,34.05,922.2,134916.9,214.86,128.18,45.7,29.4,343.04,Yes
Uttarakhand,2008,25.56,774.3,69322.6,78.51,240.6,42.6,9.0,319.11,Yes
Assam,2025,127.47,763.6,116815.5,103.37,229.65,48.7,19.7,333.02,Yes
Sikkim,2022,16.68,1342.6,180983.2,181.82,179.86,1.4,73.7,361.68,No
Gujarat,2025,118.37,551.0,72907.9,117.88,271.53,40.6,17.3,389.41,Yes
Madhya Pradesh,2009,60.95,957.0,79678.0,259.11,139.69,43.1,7.6,398.8,Yes
Jharkhand,2009,54.78,1318.2,42458.4,197.9,12.58,31.8,43.9,210.48,No
Chhattisgarh,2002,94.05,868.2,146354.3,378.86,244.61,38.2,5.1,623.47,Yes
Madhya Pradesh,2015,76.56,3746.3,65497.7,322.8,163.12,10.0,27.2,485.92,No
Kerala,2023,20.27,751.5,87356.7,219.28,252.23,37.3,28.5,471.51,Yes
Assam,2025,245.28,3933.7,50714.5,139.16,116.9,40.3,73.0,256.06,No
Madhya Pradesh,2009,60.95,957.0,79678.0,259.11,139.69,43.1,7.6,398.8,Yes
Assam,2007,36.26,645.7,126678.4,481.94,160.46,40.4,20.6,642.4,Yes
Assam,2013,205.13,733.2,64394.1,387.14,19.1,31.5,24.6,406.24,Yes
Jharkhand,2003,241.28,553.2,24721.0,364.28,253.59,5.9,75.3,617.87,No
Uttarakhand,2008,71.43,987.7,109020.6,164.15,40.95,9.4,94.7,205.1,No
Tripura,2011,226.4,649.4,72346.2,393.21,282.94,39.8,27.3,676.15,Yes
Gujarat,2006,239.45,1605.6,92262.4,126.08,14.07,13.1,73.4,140.15,No
Uttar Pradesh,2020,99.94,2568.5,52419.1,96.53,60.14,6.5,21.2,156.67,No
Telangana,2003,146.3,846.6,111845.4,261.29,171.54,26.8,29.0,432.83,No
Karnataka,2016,71.84,1854.0,68738.2,147.6,35.35,4.5,21.5,182.95,No
Assam,2013,145.59,1579.7,97284.1,109.0,211.12,37.1,45.3,320.12,No
Goa,2007,195.25,2717.1,130930.4,132.97,17.23,47.9,90.5,150.2,No
Goa,2024,217.03,1756.5,164699.4,66.33,226.93,20.1,73.3,293.26,No
Tripura,2011,226.4,649.4,72346.2,393.21,282.94,39.8,27.3,676.15,Yes
Manipur,2025,202.3,948.8,23578.4,318.55,159.05,48.3,13.1,477.6,Yes
Manipur,2025,202.3,948.8,23578.4,318.55,159.05,48.3,13.1,477.6,Yes
Nagaland,2019,235.13,900.9,143273.6,123.98,86.76,24.7,69.6,210.74,No
Chhattisgarh,2000,21.76,2851.3,95323.4,100.1,3.65,22.5,48.5,103.75,No
Manipur,2024,94.63,1676.3,149435.9,494.5,226.9,36.5,23.4,721.4,No
Andhra Pradesh,2012,217.94,535.3,155895.0,141.95,155.08,15.6,16.5,297.03,No
Uttarakhand,2005,120.26,2880.3,101718.4,343.08,134.53,42.9,16.1,477.61,No
Haryana,2000,23.03,3423.8,166177.3,407.26,231.52,36.5,45.6,638.78,No
Karnataka,2016,37.51,3862.1,64803.6,173.69,25.09,11.4,15.0,198.78,No
Jharkhand,2025,66.69,3379.4,105605.0,455.78,131.93,41.7,68.4,587.71,No
Tamil Nadu,2024,113.07,1909.9,124974.2,334.45,50.01,43.8,31.6,384.46,No
Gujarat,2008,215.93,575.9,118573.9,282.27,98.33,30.2,9.1,380.6,Yes
Karnataka,2003,17.52,2686.0,124468.4,163.86,95.03,25.0,23.7,258.89,No
Uttar Pradesh,2001,12.57,681.8,18038.9,240.07,132.01,44.3,23.1,372.08,Yes
Telangana,2017,188.87,942.7,39267.3,384.91,98.42,36.0,23.0,483.33,Yes
Assam,2007,36.26,645.7,126678.4,481.94,160.46,40.4,20.6,642.4,Yes
Telangana,2013,243.69,3316.4,25399.1,181.31,233.56,39.5,25.4,414.87,No
Madhya Pradesh,2008,212.76,3041.1,151105.0,167.64,260.35,36.4,17.0,427.99,No
Telangana,2014,143.28,3793.2,119165.0,256.64,254.77,5.4,57.6,511.41,No
Goa,2024,72.49,3800.2,75404.8,495.34,296.41,28.7,81.1,791.75,No
Assam,2003,153.09,593.7,150726.0,163.51,109.43,2.6,25.6,272.94,No
Andhra Pradesh,2025,223.4,503.9,160385.5,450.91,49.62,33.9,21.1,500.53,Yes
